event,series,window,CAR,t,sig
ukraine,SAFE,"(0,20)",-0.018763383751761432,-1.7352733184102607,*
ukraine,SAFE,"(0,50)",-0.05842740193219295,-3.467351440190991,***
ukraine,RISKY,"(0,5)",-0.020681058089397884,-2.0025686778683185,**
ukraine,RISKY,"(0,20)",0.004443884803781214,0.23000826123126936,
ukraine,RISKY,"(0,50)",0.005490853458134395,0.18236649658560988,
ukraine,CARRY_HML,"(0,5)",-0.010442775439175395,-1.2845723712970882,
ukraine,CARRY_HML,"(0,20)",0.02320726855554258,1.525923086187263,
ukraine,CARRY_HML,"(0,50)",0.06391825539032803,2.6968580491040717,***
ukraine,OIL_EXP,"(0,5)",0.004639555621595841,0.552757749896591,
ukraine,OIL_EXP,"(0,20)",0.024689296858230195,1.5722918165659374,
ukraine,OIL_EXP,"(0,50)",0.0014345592700922925,0.05862292556064966,
ukraine,OIL_IMP,"(0,5)",-0.006312978767170178,-0.7474455441055269,
ukraine,OIL_IMP,"(0,20)",-0.021063943217485667,-1.333063636188618,
ukraine,OIL_IMP,"(0,50)",-0.020778068744030355,-0.8438027656365358,
liberation_day,r_DTWEXBGS,"(0,5)",-0.0003545523603583178,-0.047465955190413016,
liberation_day,r_DTWEXBGS,"(0,20)",-0.03746901147772656,-2.6812669642806464,***
liberation_day,r_DTWEXBGS,"(0,50)",-0.06340688970230056,-2.911580696389474,***
liberation_day,r_SP500,"(0,5)",-0.03895399469752614,-1.9407911390241344,*
liberation_day,r_SP500,"(0,20)",-0.03655925677130753,-0.9736214557598923,
liberation_day,r_SP500,"(0,50)",0.00577239268419614,0.09864457468017011,
liberation_day,r_DCOILBRENTEU,"(0,5)",-0.14723750370274952,-3.2648285051993184,***
liberation_day,r_DCOILBRENTEU,"(0,20)",-0.21369070608258064,-2.5327570901910588,**
liberation_day,r_DCOILBRENTEU,"(0,50)",-0.10849226241761957,-0.8251468209239432,
liberation_day,r_DCOILWTICO,"(0,5)",-0.13543702828816423,-2.611471106995293,***
liberation_day,r_DCOILWTICO,"(0,20)",-0.1894818685407681,-1.9529064768538995,*
liberation_day,r_DCOILWTICO,"(0,50)",-0.05073033800614495,-0.33551048919668275,
liberation_day,r_Gold,"(0,5)",-0.015967440600348257,-0.7153317617216317,
liberation_day,r_Gold,"(0,20)",0.03138591063697725,0.7515760135751858,
liberation_day,r_Gold,"(0,50)",0.017078985203423883,0.2624368394869126,
liberation_day,d_DGS10,"(0,5)",0.1364999999999998,1.1196875438811738,
liberation_day,d_DGS10,"(0,20)",-0.11724999999999972,-0.5140945794003626,
liberation_day,d_DGS10,"(0,50)",-0.044749999999999554,-0.12590639008915225,
liberation_day,d_VIXCLS,"(0,5)",12.482499999999998,2.792269809178646,***
liberation_day,d_VIXCLS,"(0,20)",5.143750000000004,0.6150375565737064,
liberation_day,d_VIXCLS,"(0,50)",0.866250000000008,0.06646447684276542,
liberation_day,USD_EW,"(0,5)",0.002516443614741754,0.3243593444089077,
liberation_day,USD_EW,"(0,20)",-0.02599875580391442,-1.791256391049079,*
liberation_day,USD_EW,"(0,50)",-0.04947661161983986,-2.187407500316274,**
liberation_day,SAFE,"(0,5)",0.009686357577679983,1.0362169013810014,
liberation_day,SAFE,"(0,20)",0.0402928082841992,2.3040064451976123,**
liberation_day,SAFE,"(0,50)",0.064101798537947,2.3520737034117998,**
liberation_day,RISKY,"(0,5)",-0.008056649413511025,-0.912254162135035,
liberation_day,RISKY,"(0,20)",0.018996713467166658,1.1497564056834526,
liberation_day,RISKY,"(0,50)",0.047619253753755225,1.8494155727851935,*
liberation_day,CARRY_HML,"(0,5)",-0.017743006991190892,-2.6275266031056685,***
liberation_day,CARRY_HML,"(0,20)",-0.02129609481703211,-1.685721584777848,*
liberation_day,CARRY_HML,"(0,50)",-0.016482544784190773,-0.8372105641607128,
liberation_day,OIL_EXP,"(0,5)",-0.008026729594238221,-0.9039587054381065,
liberation_day,OIL_EXP,"(0,20)",0.01519205617238719,0.9145184976785208,
liberation_day,OIL_EXP,"(0,50)",0.04069045807025861,1.5717847650906842,
liberation_day,OIL_IMP,"(0,5)",0.00733880011856043,1.0109519563172347,
liberation_day,OIL_IMP,"(0,20)",0.026688075905403306,1.9651182986433966,**
liberation_day,OIL_IMP,"(0,50)",0.04897561484643454,2.314066801060388,**
tariff_pause,r_DTWEXBGS,"(0,5)",-0.030837455308476425,-4.0694485803711755,***
tariff_pause,r_DTWEXBGS,"(0,20)",-0.04549509201071919,-3.209131827173118,***
tariff_pause,r_DTWEXBGS,"(0,50)",-0.06739529963721502,-3.0505431879127904,***
tariff_pause,r_SP500,"(0,5)",0.05161416161383875,2.6447064010788806,***
tariff_pause,r_SP500,"(0,20)",0.1030614367442463,2.822739232025729,***
tariff_pause,r_SP500,"(0,50)",0.13573446397236358,2.3855540360508525,**
tariff_pause,r_DCOILBRENTEU,"(0,5)",0.0491979855790675,1.109274924401583,
tariff_pause,r_DCOILBRENTEU,"(0,20)",-0.06291874037597098,-0.7582944409540099,
tariff_pause,r_DCOILBRENTEU,"(0,50)",0.213172743561626,1.648595411117373,
tariff_pause,r_DCOILWTICO,"(0,5)",0.049895078420888896,0.9831062540326021,
tariff_pause,r_DCOILWTICO,"(0,20)",0.002492642997396894,0.02625238769930054,
tariff_pause,r_DCOILWTICO,"(0,50)",0.26553638170475,1.7945572574923774,*
tariff_pause,r_Gold,"(0,5)",0.10826922982077165,4.942599537877629,***
tariff_pause,r_Gold,"(0,20)",0.10050536390888613,2.4524806813444213,**
tariff_pause,r_Gold,"(0,50)",0.07339053062635287,1.1491611670395632,
tariff_pause,d_DGS10,"(0,5)",-0.0049999999999997755,-0.040823685541796294,
tariff_pause,d_DGS10,"(0,20)",-0.1224999999999998,-0.5346188559698184,
tariff_pause,d_DGS10,"(0,50)",-0.1774999999999992,-0.4970855060611938,
tariff_pause,d_VIXCLS,"(0,5)",-19.604499999999994,-4.513377477931908,***
tariff_pause,d_VIXCLS,"(0,20)",-28.480749999999997,-3.5048003738881373,***
tariff_pause,d_VIXCLS,"(0,50)",-31.463249999999995,-2.4845057447883363,**
