event,series,method,window,CAR,t,sig
hormuz_ceasefire,RISKY,const_mean,"(-1,1)",0.01642849010700593,3.208403733373456,***
hormuz_ceasefire,RISKY,const_mean,"(0,1)",0.013023263534984817,3.1149911769691307,***
hormuz_ceasefire,RISKY,const_mean,"(0,5)",0.021773498168834907,3.0068002230256745,***
hormuz_ceasefire,RISKY,const_mean,"(0,10)",0.01751551682459895,1.7863995623222486,*
hormuz_ceasefire,RISKY,const_mean,"(0,20)",0.00959390362933254,0.7081702758863652,
hormuz_ceasefire,RISKY,market_model,"(-1,1)",0.0024050024109264307,1.2241715835297042,
hormuz_ceasefire,RISKY,market_model,"(0,1)",0.0011301647159451963,0.7045537842792596,
hormuz_ceasefire,RISKY,market_model,"(0,5)",0.0011055661946345774,0.39792069898248783,
hormuz_ceasefire,RISKY,market_model,"(0,10)",-0.001146305504633551,-0.304713321167933,
hormuz_ceasefire,RISKY,market_model,"(0,20)",-0.005283766092903155,-1.0165326717314018,
hormuz_ceasefire,CARRY_HML,const_mean,"(-1,1)",0.003491211510886519,0.9416636165334225,
hormuz_ceasefire,CARRY_HML,const_mean,"(0,1)",0.0012480868983904124,0.41229691355303555,
hormuz_ceasefire,CARRY_HML,const_mean,"(0,5)",-8.670783034796258e-05,-0.01653723703101903,
hormuz_ceasefire,CARRY_HML,const_mean,"(0,10)",-0.0027703194429001313,-0.3902238098346838,
hormuz_ceasefire,CARRY_HML,const_mean,"(0,20)",-0.011279118095532512,-1.1498620843662575,
hormuz_ceasefire,CARRY_HML,market_model,"(-1,1)",0.0045281067043047435,1.226806455805561,
hormuz_ceasefire,CARRY_HML,market_model,"(0,1)",0.0021274613641132116,0.70593824613477,
hormuz_ceasefire,CARRY_HML,market_model,"(0,5)",0.0014414768685222356,0.2761544717351662,
hormuz_ceasefire,CARRY_HML,market_model,"(0,10)",-0.0013904662784825655,-0.19673613987409544,
hormuz_ceasefire,CARRY_HML,market_model,"(0,20)",-0.010179064773664315,-1.0423612505945845,
hormuz_ceasefire,HAVEN_SAFE,const_mean,"(-1,1)",0.010762691161649705,1.526752521886525,
hormuz_ceasefire,HAVEN_SAFE,const_mean,"(0,1)",0.00899129498401837,1.562124498564222,
hormuz_ceasefire,HAVEN_SAFE,const_mean,"(0,5)",0.01750358049204541,1.7557378269161261,*
hormuz_ceasefire,HAVEN_SAFE,const_mean,"(0,10)",0.015549413753148984,1.151929956280959,
hormuz_ceasefire,HAVEN_SAFE,const_mean,"(0,20)",0.018119968062743533,0.9715299102319929,
hormuz_ceasefire,HAVEN_SAFE,market_model,"(-1,1)",-0.004567724361667427,-0.952999606103835,
hormuz_ceasefire,HAVEN_SAFE,market_model,"(0,1)",-0.004010188720119084,-1.0247154236679978,
hormuz_ceasefire,HAVEN_SAFE,market_model,"(0,5)",-0.005090512506711489,-0.7509989736320467,
hormuz_ceasefire,HAVEN_SAFE,market_model,"(0,10)",-0.004851608940330796,-0.5286191657525143,
hormuz_ceasefire,HAVEN_SAFE,market_model,"(0,20)",0.0018557644777600886,0.14634121953086077,
hormuz_ceasefire,HAVEN_RISKY,const_mean,"(-1,1)",0.012550756150955052,1.997518766642085,**
hormuz_ceasefire,HAVEN_RISKY,const_mean,"(0,1)",0.010535474851475869,2.0536230051068314,**
hormuz_ceasefire,HAVEN_RISKY,const_mean,"(0,5)",0.017394425693001106,1.9575644656543194,*
hormuz_ceasefire,HAVEN_RISKY,const_mean,"(0,10)",0.015061311171821329,1.2518377461626602,
hormuz_ceasefire,HAVEN_RISKY,const_mean,"(0,20)",0.003817633399237576,0.22964985627646847,
hormuz_ceasefire,HAVEN_RISKY,market_model,"(-1,1)",-0.003007182759289471,-0.8696225952024471,
hormuz_ceasefire,HAVEN_RISKY,market_model,"(0,1)",-0.002658967849953433,-0.9417371616298047,
hormuz_ceasefire,HAVEN_RISKY,market_model,"(0,5)",-0.005534993152326017,-1.131808842582084,
hormuz_ceasefire,HAVEN_RISKY,market_model,"(0,10)",-0.005642489340886063,-0.8521303323496738,
hormuz_ceasefire,HAVEN_RISKY,market_model,"(0,20)",-0.012687952206977045,-1.3867989579075983,
hormuz_ceasefire,OIL_EXP,const_mean,"(-1,1)",0.009480221409874832,1.7947081908096834,*
hormuz_ceasefire,OIL_EXP,const_mean,"(0,1)",0.007502718243212422,1.7395608752441556,*
hormuz_ceasefire,OIL_EXP,const_mean,"(0,5)",0.016846885823235166,2.2551737055857224,**
hormuz_ceasefire,OIL_EXP,const_mean,"(0,10)",0.019364860169337222,1.914494022196299,*
hormuz_ceasefire,OIL_EXP,const_mean,"(0,20)",0.015491302498479137,1.1084453325284658,
hormuz_ceasefire,OIL_EXP,market_model,"(-1,1)",-0.004123089650974852,-1.5738276590062434,
hormuz_ceasefire,OIL_EXP,market_model,"(0,1)",-0.004034035396044515,-1.885904642087509,*
hormuz_ceasefire,OIL_EXP,market_model,"(0,5)",-0.0032017863560921712,-0.8641949959167776,
hormuz_ceasefire,OIL_EXP,market_model,"(0,10)",0.0012621898772791555,0.25160737861831906,
hormuz_ceasefire,OIL_EXP,market_model,"(0,20)",0.0010594027116138727,0.15284331752046162,
