day,month,year,daily_tpu_index
8,10,2024,92.1658986175115
9,10,2024,153.508771929824
10,10,2024,83.50730688935279
11,10,2024,61.2244897959183
12,10,2024,135.50135501355
13,10,2024,35.650623885918
14,10,2024,101.522842639593
15,10,2024,187.793427230046
16,10,2024,167.364016736401
17,10,2024,122.199592668024
18,10,2024,127.388535031847
19,10,2024,208.333333333333
20,10,2024,128.440366972477
21,10,2024,206.185567010309
22,10,2024,155.902004454342
23,10,2024,221.67487684729
24,10,2024,90.7029478458049
25,10,2024,220.440881763527
26,10,2024,225.563909774436
27,10,2024,108.695652173913
28,10,2024,239.234449760765
29,10,2024,255.813953488372
30,10,2024,228.690228690228
31,10,2024,223.577235772357
1,11,2024,118.811881188118
2,11,2024,150.753768844221
3,11,2024,172.117039586919
4,11,2024,214.285714285714
5,11,2024,339.366515837104
6,11,2024,347.490347490347
7,11,2024,877.5510204081629
8,11,2024,668.016194331983
9,11,2024,661.7647058823529
10,11,2024,339.285714285714
11,11,2024,418.71921182266
12,11,2024,516.431924882629
13,11,2024,480.167014613778
14,11,2024,311.203319502074
15,11,2024,411.214953271028
16,11,2024,341.207349081364
17,11,2024,206.185567010309
18,11,2024,342.105263157894
19,11,2024,428.893905191873
20,11,2024,304.259634888438
21,11,2024,215.51724137931
22,11,2024,359.281437125748
23,11,2024,407.673860911271
24,11,2024,207.972270363951
25,11,2024,335.051546391752
26,11,2024,502.283105022831
27,11,2024,649.6519721577721
28,11,2024,325.0
29,11,2024,315.315315315315
30,11,2024,360.110803324099
1,12,2024,294.117647058823
2,12,2024,162.60162601626
3,12,2024,178.97091722595
4,12,2024,202.53164556962
5,12,2024,305.343511450381
6,12,2024,212.765957446808
7,12,2024,187.667560321715
8,12,2024,134.907251264755
9,12,2024,268.817204301075
10,12,2024,308.370044052863
11,12,2024,157.790927021696
12,12,2024,236.406619385342
13,12,2024,400.0
14,12,2024,274.725274725274
15,12,2024,195.694716242661
16,12,2024,353.535353535353
17,12,2024,551.378446115288
18,12,2024,254.041570438799
19,12,2024,400.0
20,12,2024,224.719101123595
21,12,2024,250.0
22,12,2024,115.830115830115
23,12,2024,142.857142857142
24,12,2024,228.571428571428
25,12,2024,166.112956810631
26,12,2024,175.438596491228
27,12,2024,155.844155844155
28,12,2024,313.390313390313
29,12,2024,159.453302961275
30,12,2024,418.006430868167
31,12,2024,375.335120643431
1,1,2025,464.396284829721
2,1,2025,308.056872037914
3,1,2025,222.717149220489
4,1,2025,338.983050847457
5,1,2025,180.722891566265
6,1,2025,292.397660818713
7,1,2025,494.38202247191
8,1,2025,295.454545454545
9,1,2025,409.482758620689
10,1,2025,240.963855421686
11,1,2025,379.746835443038
12,1,2025,159.857904085257
13,1,2025,370.37037037037
14,1,2025,185.185185185185
15,1,2025,225.872689938398
16,1,2025,416.666666666666
17,1,2025,235.294117647058
18,1,2025,310.262529832935
19,1,2025,334.448160535117
20,1,2025,451.807228915662
21,1,2025,631.808278867102
22,1,2025,435.684647302904
23,1,2025,359.408033826638
24,1,2025,511.811023622047
25,1,2025,411.311053984575
26,1,2025,232.558139534883
27,1,2025,767.195767195767
28,1,2025,503.432494279176
29,1,2025,393.013100436681
30,1,2025,321.888412017167
31,1,2025,502.008032128514
1,2,2025,531.400966183574
2,2,2025,362.595419847328
3,2,2025,960.591133004926
4,2,2025,1058.31533477321
5,2,2025,932.754880694143
6,2,2025,615.384615384615
7,2,2025,509.259259259259
8,2,2025,538.243626062323
9,2,2025,288.659793814433
10,2,2025,512.820512820512
11,2,2025,257.611241217798
12,2,2025,415.647921760391
13,2,2025,418.410041841004
14,2,2025,512.820512820512
15,2,2025,338.541666666666
16,2,2025,231.404958677685
17,2,2025,439.189189189189
18,2,2025,512.820512820512
19,2,2025,302.325581395348
20,2,2025,441.176470588235
21,2,2025,657.370517928286
22,2,2025,477.453580901856
23,2,2025,125.448028673835
24,2,2025,383.631713554987
25,2,2025,335.570469798657
26,2,2025,433.839479392624
27,2,2025,435.684647302904
28,2,2025,311.203319502074
1,3,2025,500.0
2,3,2025,206.378986866791
3,3,2025,428.211586901763
4,3,2025,820.04555808656
5,3,2025,858.895705521472
6,3,2025,952.380952380952
7,3,2025,881.147540983606
8,3,2025,827.250608272506
9,3,2025,401.396160558464
10,3,2025,866.141732283464
11,3,2025,704.545454545454
12,3,2025,934.393638170974
13,3,2025,812.5
14,3,2025,560.928433268858
15,3,2025,811.455847255369
16,3,2025,329.489291598023
17,3,2025,823.798627002288
